Task,Difficulty,Problem Statement,Patterns,Hints,Last Revised Date,Notes
ValidBstFromPreorder,Very Hard,"Given preorder traversal of a BST, verify the valid binary search tree.","Monotonic Stack, Array to Tree","Use a Monotonic Stack (Decreasing). The stack stores the nodes on the current path (potential parents). When a value is larger than the stack's top, it means we are in the right subtree of a popped node. The last popped node becomes the lowerBound, and all subsequent nodes must be larger than this lowerBound.",,Cannot come up with the monotonic stack approach on my own but understood solution fairly quickly compared to last time
CheckBst,Easy,Determine if a binary tree is a valid binary search tree.,"Tree Traversal (In-order), BST Properties","The in-order traversal of a BST is always sorted (strictly increasing for unique values). Alternatively, pass min/max bounds (−∞ to +∞) down the recursion for each node.",,Able to come up with appraoch immediately
SpiralTraversal,Easy,Traverse a binary tree in spiral/zigzag level order.,"Tree Traversal (BFS), Level Order",Use two Stacks. One for left-to-right traversal and another for right-to-left. Pop from one stack and push children to the other stack in the appropriate order to maintain the spiral order without explicit reversal.,,Able to come up with approach with dry run in copy
FlattenTree,Medium,Flatten a binary tree to a linked list following preorder traversal.,"Tree Traversal, Linked List Conversion",The flattened list should follow a Pre-order traversal order. Convert the tree in-place (no extra space). The core idea is to move the right subtree to the end of the left subtree.,,Not clear approach but easily able to understand after looking at the code
CheckBalanced,Easy,Check if a binary tree is height-balanced.,"Tree Traversal (DFS), Height Calculation","For a node to be balanced, its left and right subtrees must be balanced, and the absolute difference of their heights must be ≤1. Use a post-order traversal to compute height from the bottom up.",,Easy to approach and code
FindCousins,Medium,"Find all cousins of a given node in a binary tree.","Tree Traversal (BFS/DFS), Level Order",Perform a level order traversal (or DFS) to find the level of the target node. Then, collect all nodes at that level that are not siblings of the target node.,,MInor issue while determining the sibling but that can be done from parent
VerticalTraversal,Medium,Return vertical order traversal of a binary tree from left to right,"Tree Traversal (BFS/DFS), Coordinate System, Sorting/Mapping","Use BFS to visit nodes. Maintain a horizontal distance (hd) for each node. Use a TreeMap to store nodes grouped by hd. Nodes at the same hd are stored in the order they are visited (level order).",,"Easy intution, didn't think about using tree map"
ConnectNode,Medium,Connect each node to its next right node at the same level.,"Tree Traversal (BFS/Iterative), Level Order","Use BFS or level-by-level iteration. The next pointer of a node should point to the next node in the same level. For a node's children, the left child's next is its right sibling. The right child's next is the left child of its parent's next.",,"Able to come up with intution, Some hiccups in code thinking"
LowestCommonAncestorOfBinarySearchTree,Medium,Find the lowest common ancestor of two nodes in a binary search tree.,"Tree Traversal (DFS), Recursion",Lowest common ancestor should have one node smaller that it and other node bigger than it.,,Got the approach this time
LowestCommonAncestorOfABinaryTree,Medium,Find LCA of two nodes in binary tree.,"Tree Traversal (DFS), Recursion","Return node if it’s p or q, or both recursive calls return non-null.",2-Nov-2025,
